id              	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval            	padj
hsa-miR-151a-3p 	400.379847551	148.641330030	652.118365072	4.387194092903	2.133298533727	0.0607889962774603	1
hsa-miR-181a-2-3p	38.0810234764	9.75872346071	66.4033234921	6.804509192158	2.766491104186	0.040394996449045	1
hsa-miR-30b-5p  	45.7532489458	15.6701689142	75.8363289775	4.839534876271	2.274868397925	0.0473296794167905	1
hsa-miR-31-5p   	47.7224042197	17.5533063414	77.8915020979	4.437426236562	2.149723137751	0.0217042181197535	1
hsa-miR-18a-3p  	31.2373932189	50.8948903568	11.5798960810	0.227525710339	-2.13589851624	0.0329891530857737	1
hsa-miR-424-3p  	75.3940441038	124.031264112	26.7568240950	0.215726448380	-2.21272503100	0.101929342641295	1
hsa-miR-4326    	31.8372894582	51.9632478068	11.7113311096	0.225377196459	-2.14958654308	0.0254757887596126	1
hsa-miR-7974    	39.0692497138	68.6698490262	9.46865040141	0.137886576651	-2.85844607850	0.209783529285825	1
