Sample_name	aae	aau	aca	aga	age	ahy	aja	aly	ama	ame	amg	api	aqc	aqu	asu	ata	ath	atr	bbe	bcy	bdi	bfl	bfv	bgy	bhv1	bhv5	bkv	blv	bma	bmo	bna	bol	bpcv2	bra	bta	cbn	cbr	cca	ccr	cel	cfa	cgr	chi	cin	cla	cme	cpa	cqu	cre	crm	csa	csi	cte	dan	ddi	der	dev	dgr	dme	dmo	dpe	dpr	dps	dpu	dre	dse	dsi	dvi	dwi	dya	ebv	eca	efu	egr	emu	esi	far	fru	gga	ggo	ghr	gma	gra	gsa	gso	han	har	hbr	hbv	hci	hcmv	hco	hex	hhi	hhv6b	hiv1	hma	hme	hpa	hru	hsa	hsv1	hsv2	hvsa	hvt	hvu	iltv	ipu	isc	jcv	kshv	lca	lco	lgi	lja	lla	lmi	lus	lva	mcmv	mcv	mdm	mdo	mdv1	mdv2	mes	meu	mghv	mja	mml	mmu	mne	mse	mtr	ngi	nlo	nta	nve	nvi	oan	oar	ocu	odi	oha	ola	osa	pab	pbi	pde	peu	pgi	pin	pma	pmi	pol	ppa	ppc	ppe	ppt	ppy	pra	prd	prv	psj	pta	ptc	pti	ptr	pvu	pxy	rco	rgl	rlcv	rmi	rno	rrv	sbi	sci	sha	sja	sko	sla	sly	sma	sme	smo	smr	sof	spu	ssa	ssc	ssl	ssp	ssy	str	stu	sv40	tae	tca	tcc	tch	tgu	tni	tur	vun	vvi	xbo	xla	xtr	zma
WTCHG_189136_282_1.trimmed.bowtie_against_all_mature.sam	169	1	39	0	3	19	1	237	0	126	0	17	4	18	104	79	36	37	19	4	280	66	585	0	24	8	0	2	35	334	1	1	0	26	508	40	71	20	3	259	111	36	31	69	0	4	46	4	183	29	2	9	23	1	6	0	32	0	172	2	0	0	73	2	73	0	21	46	0	1	24	431	509	0	1	80	7	0	622	28	42	378	102	67	1	1	0	3	23	0	9	86	0	7	12	25	2	38	0	3	3574	20	7	0	5	34	7	19	6	0	39	0	0	21	11	0	27	0	2	73	0	7	303	3	51	4	0	6	6	171	1658	2	39	207	0	0	20	1821	2	150	53	1	22	42	12	566	6	0	5	9	1	0	328	3	0	0	245	79	82	357	0	136	2	1	7	63	8	116	3	152	0	11	95	6	222	43	35	0	1	30	54	0	15	16	60	9	0	0	27	112	61	0	1	0	28	77	0	33	157	0	4	9849	2	16	0	19	0	0	12	37
WTCHG_189136_283_1.trimmed.bowtie_against_all_mature.sam	140	2	57	0	0	3	0	210	0	90	0	23	8	34	57	31	43	30	26	2	279	37	155	1	16	8	1	2	47	237	6	0	0	17	437	33	24	44	6	199	76	34	55	52	0	6	30	6	68	20	1	8	31	3	2	2	66	1	187	1	0	0	84	4	102	2	27	25	0	2	29	426	194	0	0	40	0	5	513	28	12	211	109	37	0	0	0	5	48	1	26	63	0	5	6	36	2	17	0	0	2140	44	9	0	9	23	8	17	2	0	31	0	0	53	4	1	10	4	3	24	0	18	315	5	71	4	0	7	3	176	1263	2	144	294	0	0	21	991	2	139	63	1	18	28	6	368	11	0	10	15	3	0	191	2	0	0	176	45	80	240	0	70	9	1	8	77	7	69	7	91	0	2	237	3	226	25	30	0	1	33	92	2	14	21	59	7	0	0	7	91	77	0	1	0	24	66	1	21	130	0	5	3577	5	16	0	32	2	0	6	35
WTCHG_189136_284_1.trimmed.bowtie_against_all_mature.sam	120	3	41	2	1	2	1	143	0	62	0	24	4	25	38	27	48	27	18	0	223	32	49	0	11	1	0	3	47	219	3	0	0	26	284	44	21	33	5	198	78	23	48	64	0	10	9	8	79	27	0	9	29	2	1	2	72	0	177	1	0	0	32	2	112	1	33	27	0	1	44	298	200	1	0	37	4	1	417	32	9	185	91	25	0	0	0	4	18	0	16	45	0	5	6	28	1	37	0	0	1320	11	8	0	6	21	5	24	0	0	14	0	0	45	4	0	5	3	3	12	0	11	283	4	78	6	0	4	4	108	952	0	143	191	0	0	14	635	0	136	59	1	25	36	6	315	6	1	14	12	0	0	193	4	0	0	181	71	48	220	1	56	5	1	6	64	6	51	9	107	0	7	260	5	210	29	35	1	2	35	133	2	19	14	62	6	0	0	2	88	60	0	0	0	29	70	2	16	121	2	5	1735	3	15	0	62	0	0	9	26
WTCHG_189136_285_1.trimmed.bowtie_against_all_mature.sam	284	8	143	5	3	11	2	376	2	177	0	28	19	66	98	196	110	51	61	0	710	107	1	0	12	6	0	4	130	505	13	3	0	39	788	138	82	160	23	537	215	71	112	94	0	21	47	21	150	54	2	16	79	1	0	8	188	2	407	2	1	0	138	12	335	3	74	44	1	3	150	636	383	2	0	64	4	4	975	61	16	380	264	71	0	1	0	8	84	0	36	144	0	15	13	80	6	67	0	2	2843	24	35	0	23	62	21	28	8	0	41	0	0	174	15	4	2	4	4	26	0	30	799	12	261	8	0	8	6	238	2590	5	527	488	2	1	32	353	2	401	134	2	55	98	19	848	6	0	37	51	7	0	547	11	2	0	412	46	51	551	1	192	6	0	7	230	30	164	16	229	1	10	936	33	596	83	75	0	7	90	280	1	51	63	200	38	0	0	14	203	220	0	0	0	88	276	5	50	363	2	27	586	10	55	0	258	2	0	28	81
WTCHG_189136_286_1.trimmed.bowtie_against_all_mature.sam	119	4	52	6	1	4	2	149	0	105	0	18	2	24	36	18	52	41	20	0	312	33	58	1	12	10	1	1	50	227	9	0	0	19	536	41	43	32	8	210	159	22	50	59	0	4	18	6	72	37	0	11	23	0	0	1	63	2	144	1	1	0	102	8	99	2	26	17	0	0	48	289	225	1	0	39	3	1	473	25	11	197	101	31	1	1	0	7	16	0	16	44	0	3	6	41	1	30	0	0	1864	30	15	0	11	25	7	31	2	0	25	1	0	34	16	1	6	3	1	18	0	15	280	4	99	10	0	2	2	123	1710	0	141	256	0	1	9	236	0	128	71	0	9	23	17	311	3	0	4	18	2	0	257	2	1	1	196	167	47	287	0	92	16	0	5	65	3	63	6	171	2	3	341	5	218	26	26	0	0	34	86	0	15	14	53	15	0	2	8	82	86	0	2	1	28	91	1	25	126	0	8	2663	4	32	1	38	2	0	10	20
WTCHG_189136_288_1.trimmed.bowtie_against_all_mature.sam	106	4	23	0	0	5	0	114	0	35	1	6	4	21	41	30	18	14	16	0	191	23	95	0	7	3	0	0	27	148	2	0	0	10	271	24	15	27	6	160	62	17	26	40	0	0	13	4	73	20	0	6	23	0	0	0	45	1	129	1	0	0	44	1	91	0	17	16	0	1	39	193	135	0	0	34	2	2	234	16	19	135	74	10	1	0	0	4	13	0	12	30	0	5	7	27	1	11	0	0	1054	15	12	0	6	10	6	26	1	0	9	0	0	29	4	0	6	1	0	17	0	7	179	1	81	1	0	4	3	96	764	0	102	87	0	0	6	503	1	95	23	0	8	33	7	239	1	0	3	4	3	1	130	5	0	1	126	52	52	203	0	48	5	0	8	27	14	38	6	60	0	6	309	3	121	14	21	0	0	29	77	1	11	4	62	5	0	0	9	72	53	0	1	0	20	47	2	10	92	2	3	1550	0	6	0	27	1	0	6	25
WTCHG_189136_289_1.trimmed.bowtie_against_all_mature.sam	230	2	73	6	6	17	2	293	0	145	0	54	12	84	116	139	72	48	46	0	587	66	59	0	16	6	1	5	78	420	19	4	0	50	637	81	66	100	20	411	169	62	90	133	0	13	31	16	150	61	3	10	80	1	3	2	124	2	311	2	2	0	117	10	245	3	64	49	5	6	116	572	344	5	0	44	5	4	761	57	24	362	244	57	1	1	1	9	45	1	53	125	0	10	15	71	7	35	0	0	2511	18	20	0	8	39	15	65	8	0	49	1	1	81	7	1	5	2	4	19	0	33	596	12	166	2	0	6	6	208	2052	3	345	390	7	0	25	497	0	239	130	1	39	80	16	626	7	0	21	43	5	1	530	2	0	1	340	242	91	478	1	164	7	0	4	136	15	126	13	259	0	13	617	11	430	61	70	0	5	72	186	5	25	28	130	22	1	0	14	177	161	0	2	1	43	172	0	49	294	4	16	1103	6	52	0	109	4	0	36	51
WTCHG_189136_290_1.trimmed.bowtie_against_all_mature.sam	6	0	4	0	0	0	0	12	0	17	0	1	0	4	3	1	1	4	6	0	16	5	15	0	3	0	0	3	2	13	1	0	0	0	53	6	1	1	0	29	30	5	1	2	0	0	0	0	3	11	0	2	1	0	0	0	0	0	9	0	0	0	11	0	1	0	0	0	1	0	0	47	27	0	0	22	0	0	56	2	5	11	4	2	0	0	0	0	2	0	1	5	0	6	0	1	0	4	0	0	407	4	1	0	1	3	0	2	0	0	0	0	0	0	1	0	3	0	0	2	0	0	31	0	3	1	0	0	1	31	353	0	0	20	0	0	0	20	0	46	0	1	1	5	0	55	2	0	0	0	1	0	12	0	0	0	34	4	6	14	0	16	0	0	0	1	0	6	0	7	0	0	6	0	22	2	1	0	0	3	0	0	0	2	1	0	0	0	8	4	2	0	0	0	2	5	0	3	33	0	2	525	1	0	0	2	0	1	1	2
WTCHG_189136_291_1.trimmed.bowtie_against_all_mature.sam	23	1	26	0	0	1	0	36	0	21	0	16	0	3	22	28	29	12	6	1	92	26	91	0	9	3	0	1	7	68	0	0	0	1	336	14	24	5	2	129	39	12	18	27	0	2	12	1	52	14	0	2	5	0	1	1	3	0	41	0	0	0	19	1	12	1	6	12	1	0	2	144	112	0	1	55	2	0	173	13	17	94	22	8	0	0	0	1	8	0	1	39	0	3	6	1	1	8	0	0	960	9	6	0	1	5	3	13	1	0	13	0	0	1	3	0	2	0	1	28	1	6	88	2	17	2	0	3	1	63	792	0	1	39	0	0	1	359	0	56	10	0	2	13	2	187	1	0	2	0	0	0	30	1	0	0	75	11	26	262	0	23	4	0	3	26	2	36	0	41	0	3	12	4	76	6	11	0	0	6	5	0	5	6	10	3	0	0	5	18	28	0	1	0	7	23	0	10	51	0	2	4562	1	4	0	6	0	0	1	9
WTCHG_189136_292_1.trimmed.bowtie_against_all_mature.sam	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
WTCHG_189136_293_1.trimmed.bowtie_against_all_mature.sam	14	0	10	0	0	1	0	18	0	13	0	2	0	5	16	8	14	2	2	0	46	14	67	0	4	1	0	2	3	43	0	0	0	5	234	4	8	4	0	65	26	1	6	7	0	0	6	2	30	16	1	1	5	0	2	0	2	1	23	2	0	0	11	0	11	0	3	4	0	0	1	90	61	1	0	28	3	0	103	10	16	47	18	2	0	0	0	1	4	0	2	15	0	2	0	7	0	2	0	0	551	2	4	0	0	7	1	8	1	0	4	0	0	1	2	0	3	0	2	12	0	1	40	0	7	1	0	2	2	43	447	0	0	26	0	0	3	199	1	29	3	0	3	7	0	102	0	0	1	0	1	0	11	1	0	0	58	5	22	124	0	17	1	0	1	11	0	15	0	21	0	1	4	1	35	5	4	0	0	2	3	0	1	2	8	1	1	0	0	14	14	0	0	0	3	15	0	4	24	0	2	2624	0	2	0	2	0	0	2	6
sums	4294	67	1424	65	38	153	24	4629	7	2337	8	506	128	801	1413	1413	1112	804	648	28	7517	1194	3951	11	430	151	5	72	1145	6455	157	26	2	616	12527	1171	1066	1008	185	6017	2778	859	1248	1571	2	144	703	249	2344	939	14	197	876	34	73	39	1683	24	5371	31	24	2	1819	118	2918	31	739	762	31	24	1132	8965	7009	23	8	1370	91	57	12364	818	576	5935	2915	902	10	9	1	144	677	11	464	1674	1	187	233	900	79	594	1	6	54653	524	335	1	207	712	232	837	70	1	738	5	5	1107	179	7	292	39	69	977	1	412	8296	140	2030	109	2	114	76	3903	36811	31	3364	5865	16	4	322	20357	26	4130	1355	19	448	988	232	10627	131	1	227	382	67	2	5896	70	18	13	5321	2139	1379	8051	11	2493	153	13	122	2087	237	2025	122	3374	6	160	7851	263	6150	860	901	10	45	960	2408	26	406	471	1781	288	3	3	291	2391	1922	2	27	3	730	2342	49	690	4012	32	173	99067	68	591	2	1345	46	14	262	792

