baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.10	8.58389090578041	0.0242345460282616	0.032238957588283	0.751716179466964	0.452221758418446	0.999981672851838
ENSG00000000419.8	1146.48515008747	0.0135780432573619	0.0667768114515388	0.203334705000339	0.838873431404898	0.999981672851838
ENSG00000000457.9	874.757323949359	-0.00495819340093443	0.0685521545500203	-0.0723273168214806	0.942341425941282	0.999981672851838
ENSG00000000460.12	881.303433445859	-0.0206557771706232	0.0676531019077897	-0.305318996293426	0.760123209290688	0.999981672851838
ENSG00000000938.8	108.448234244447	-0.000492418381842372	0.0151696607156179	-0.0324607379870668	0.974104626064835	0.999981672851838
ENSG00000000971.11	85.4862393469165	-0.0062345941077292	0.0324423308548216	-0.192174666352698	0.847605389354554	0.999981672851838
ENSG00000001036.9	533.116135029849	0.00233596032795097	0.0597451029692773	0.0390987748259835	0.968811637771086	0.999981672851838
ENSG00000001084.6	1101.71520485143	0.0244427155274591	0.067063212068435	0.36447278282043	0.715504994329457	0.999981672851838
ENSG00000001167.10	1600.59984985549	-0.0412434594346267	0.0635409719816572	-0.649084490657975	0.516283765945052	0.999981672851838
ENSG00000001460.13	192.378921815422	-0.0021527409842964	0.0679833530316953	-0.0316657076813018	0.974738642470347	0.999981672851838
ENSG00000001461.12	2093.05128891429	0.011890485504157	0.0677955779897059	0.175387331397374	0.860775294380771	0.999981672851838
ENSG00000001497.12	1766.37388665272	0.0666685674307005	0.061017560327744	1.09261279986619	0.274563840382822	0.999981672851838
ENSG00000001561.6	910.190589375794	0.00865017440726412	0.0675677237298558	0.128022285342164	0.898131337004097	0.999981672851838
ENSG00000001617.7	2.18035286868911	-0.0113243591547563	0.0150127013058737	-0.754318554937585	0.450657963326777	0.999981672851838
ENSG00000001626.10	4.02613715812585	0.00366286702097663	0.0126075142851857	0.290530467633944	0.771410445636208	0.999981672851838
ENSG00000001629.5	1723.20397253152	-0.0191750925521505	0.0679655348442806	-0.282129649918647	0.777844098955523	0.999981672851838
ENSG00000001630.11	99.013703102653	-3.23049056056634e-06	0.0517142580110094	-6.24680829777854e-05	0.999950157681082	0.999981672851838
ENSG00000001631.10	844.563724903961	0.00412900324665766	0.0640402196031404	0.0644751575220266	0.948591887370519	0.999981672851838
ENSG00000002016.12	179.088502270196	-0.0089597902879057	0.0463627904865509	-0.19325390456178	0.846760124587569	0.999981672851838
ENSG00000002330.9	504.541833924024	-0.000197668789880729	0.0629713642232037	-0.00313902664042796	0.997495423220791	0.999981672851838
ENSG00000002549.8	1935.81801206958	0.0083881702504815	0.067978627999669	0.123394226940302	0.901794928373112	0.999981672851838
ENSG00000002586.13	2622.90472400533	-0.0258700350705176	0.0631494139538272	-0.409663897901459	0.68205251670136	0.999981672851838
ENSG00000002587.5	4.32524315135704	0.00471874848073512	0.0207143047980856	0.227801440923628	0.819800606450975	0.999981672851838
ENSG00000002726.15	0.869984887063358	0.00242698129155656	0.0111990934737456	0.216712298834384	0.828432562687837	0.999981672851838
ENSG00000002745.8	0.374488814871049	0.00174509159207636	0.00610601136137403	0.285798942844362	0.775032117860377	0.999981672851838
ENSG00000002746.10	1.11001651958392	0.0127949644393451	0.0104111269824345	1.22897016441473	0.219082992526038	0.999981672851838
ENSG00000002822.11	811.814924287718	0.00814281951916762	0.0684660135774027	0.118932286162125	0.905329002630891	0.999981672851838
ENSG00000002834.13	10621.600873274	0.0283130534300886	0.0663647339054489	0.426627995983932	0.669650303136048	0.999981672851838
ENSG00000002919.10	739.226155956496	0.00254303789884798	0.0681571059472233	0.0373114125593471	0.970236705923502	0.999981672851838
ENSG00000002933.3	1.5962330565873	0.00224594656181016	0.0146479827468394	0.153328045276048	0.878139585229346	0.999981672851838
ENSG00000003056.3	4136.49494282654	-0.00605958755693422	0.0556205585719987	-0.10894510433746	0.913246031442698	0.999981672851838
ENSG00000003096.9	16.8740286720075	0.0301454579150841	0.035596434350466	0.846867346832718	0.397069064726285	0.999981672851838
ENSG00000003147.13	68.9856532804563	-0.00063202524942832	0.0550483022810689	-0.0114812850394784	0.99083946118616	0.999981672851838
ENSG00000003249.9	20.0592632987851	0.0023578547661382	0.0200529853570419	0.117581234123337	0.906399474787131	0.999981672851838
ENSG00000003393.10	393.552528815984	-0.0355628293008575	0.0669596157766928	-0.531108622538366	0.595343509421544	0.999981672851838
ENSG00000003400.10	1332.84024094539	0.00310946113713384	0.0685404636782429	0.0453667945949553	0.963814947798835	0.999981672851838
ENSG00000003402.15	5434.90075118031	0.00473795101004647	0.0685005176944722	0.0691666452971758	0.944856972698057	0.999981672851838
ENSG00000003436.10	2.62399026675879	0.00975981913881515	0.0171170867014508	0.570179920744805	0.5685556733525	0.999981672851838
ENSG00000003509.11	375.251479497861	-0.00779895410562925	0.0677299035615233	-0.115147869634053	0.908327917731496	0.999981672851838
ENSG00000003756.12	1719.92898295678	-0.0163691504412741	0.0451244891132653	-0.362755363283704	0.716787638670812	0.999981672851838
ENSG00000003987.9	1.35060689799893	-0.00586428131586645	0.0116869738288111	-0.501779280228182	0.615822789488395	0.999981672851838
ENSG00000003989.12	1.75907237311351	0.00397899937908958	0.0148648025306658	0.267679262531808	0.788946213584447	0.999981672851838
ENSG00000004059.6	1019.07694696416	0.0214241434353555	0.0685304178210465	0.312622396251842	0.754567560674228	0.999981672851838
ENSG00000004139.9	832.435449925518	-0.0105555764813084	0.0685496024415918	-0.153984503269766	0.877621954447886	0.999981672851838
